Year;Plastic waste in the ocean (g);
1950;78709952000;
1951;57801030000;
1952;42377876000;
1953;32440490000;
1954;27988872000;
1955;29023022000;
1956;35542940000;
1957;47548626000;
1958;65040080000;
1959;88017302000;
1960;1.1648E+11;
1961;1.50429E+11;
1962;1.89864E+11;
1963;2.34784E+11;
1964;2.8519E+11;
1965;3.41082E+11;
1966;4.02459E+11;
1967;4.69323E+11;
1968;5.41672E+11;
1969;6.19507E+11;
1970;7.02827E+11;
1971;7.91634E+11;
1972;8.85926E+11;
1973;9.85704E+11;
1974;1.35235E+12;
1975;1.35235E+12;
1976;1.31795E+12;
1977;1.43967E+12;
1978;1.56688E+12;
1979;1.69957E+12;
1980;1.83775E+12;
1981;1.98142E+12;
1982;2.13057E+12;
1983;2.2852E+12;
1984;2.44532E+12;
1985;2.61093E+12;
1986;2.78202E+12;
1987;2.9586E+12;
1988;3.14067E+12;
1989;3.32822E+12;
1990;3.52125E+12;
1991;3.71977E+12;
1992;3.92378E+12;
1993;4.13327E+12;
1994;4.34825E+12;
1995;4.56872E+12;
1996;4.79467E+12;
1997;5.02611E+12;
1998;5.26303E+12;
1999;5.50544E+12;
2000;5.75333E+12;
2001;6.00671E+12;
2002;6.26557E+12;
2003;6.52993E+12;
2004;6.79976E+12;
2005;7.07508E+12;
2006;7.35589E+12;
2007;7.64219E+12;
2008;8.51185E+12;
2009;8.23123E+12;
2010;8.53398E+12;
2011;8.84222E+12;
2012;9.15594E+12;
2013;9.47515E+12;
2014;9.79985E+12;
2015;1.013E+13;
2016;1.04657E+13;
