Year,Plastic in the ocean - low,Plastic in the ocean - high,Plastic in the ocean mean
1950,3.1E+10,8.1E+10,5.6E+10
1951,3.1E+10,8.1E+10,5.6E+10
1952,3.1E+10,8.1E+10,5.6E+10
1953,4.6E+10,1.2E+11,8.4E+10
1954,4.6E+10,1.2E+11,8.4E+10
1955,6.1E+10,1.6E+11,1.1E+11
1956,7.7E+10,2.0E+11,1.4E+11
1957,7.7E+10,2.0E+11,1.4E+11
1958,9.2E+10,2.4E+11,1.7E+11
1959,1.1E+11,2.8E+11,2.0E+11
1960,1.2E+11,3.2E+11,2.2E+11
1961,1.4E+11,3.7E+11,2.5E+11
1962,1.7E+11,4.5E+11,3.1E+11
1963,2.0E+11,5.3E+11,3.6E+11
1964,2.3E+11,6.1E+11,4.2E+11
1965,2.6E+11,6.9E+11,4.8E+11
1966,3.1E+11,8.1E+11,5.6E+11
1967,3.5E+11,9.3E+11,6.4E+11
1968,4.1E+11,1.1E+12,7.5E+11
1969,4.9E+11,1.3E+12,8.9E+11
1970,5.4E+11,1.4E+12,9.8E+11
1971,5.8E+11,1.5E+12,1.1E+12
1972,6.7E+11,1.8E+12,1.2E+12
1973,7.8E+11,2.1E+12,1.4E+12
1974,8.0E+11,2.1E+12,1.5E+12
1975,8.1E+11,2.2E+12,1.5E+12
1976,8.3E+11,2.2E+12,1.5E+12
1977,9.0E+11,2.4E+12,1.6E+12
1978,9.8E+11,2.6E+12,1.8E+12
1979,1.1E+12,2.9E+12,2.0E+12
1980,1.1E+12,2.8E+12,2.0E+12
1981,1.1E+12,2.9E+12,2.0E+12
1982,1.1E+12,3.0E+12,2.0E+12
1983,1.2E+12,3.2E+12,2.2E+12
1984,1.3E+12,3.5E+12,2.4E+12
1985,1.4E+12,3.7E+12,2.5E+12
1986,1.5E+12,3.9E+12,2.7E+12
1987,1.6E+12,4.2E+12,2.9E+12
1988,1.7E+12,4.5E+12,3.1E+12
1989,1.7E+12,4.6E+12,3.2E+12
1990,1.8E+12,4.9E+12,3.4E+12
1991,1.9E+12,5.0E+12,3.5E+12
1992,2.0E+12,5.4E+12,3.7E+12
1993,2.1E+12,5.6E+12,3.8E+12
1994,2.3E+12,6.1E+12,4.2E+12
1995,2.4E+12,6.3E+12,4.4E+12
1996,2.6E+12,6.8E+12,4.7E+12
1997,2.8E+12,7.3E+12,5.0E+12
1998,2.9E+12,7.6E+12,5.3E+12
1999,3.1E+12,8.2E+12,5.6E+12
2000,3.3E+12,8.6E+12,6.0E+12
2001,3.3E+12,8.8E+12,6.1E+12
2002,3.5E+12,9.4E+12,6.5E+12
2003,3.7E+12,9.8E+12,6.7E+12
2004,3.9E+12,1.0E+13,7.2E+12
2005,4.0E+12,1.1E+13,7.4E+12
2006,4.3E+12,1.1E+13,7.8E+12
2007,4.5E+12,1.2E+13,8.2E+12
2008,4.3E+12,1.1E+13,7.9E+12
2009,4.4E+12,1.2E+13,8.1E+12
2010,4.8E+12,1.3E+13,8.8E+12
2011,5.0E+12,1.3E+13,9.1E+12
2012,5.2E+12,1.4E+13,9.4E+12
2013,5.4E+12,1.4E+13,9.8E+12
2014,5.6E+12,1.5E+13,1.0E+13
2015,5.8E+12,1.5E+13,1.1E+13
